"","V1","V2","V3","V4","V5","tg_ecotypeid","latitude","longitude"
"1",1e-05,1e-05,0.836954,1e-05,0.163016,88,47.4,0.683333
"2",1e-05,1e-05,0.868903,0.000731,0.130346,108,48.5167,-4.06667
"3",1e-05,1e-05,0.831711,0.016121,0.152148,139,48.5167,-4.06667
"4",1e-05,1e-05,0.558922,0.00974,0.431317,159,47.35,3.93333
"5",1e-05,0.260306,0.436959,0.04143,0.261295,265,44.65,-1.16667
"6",1e-05,1e-05,0.696492,0.020591,0.282897,350,46.6667,4.11667
"7",1e-05,1e-05,0.835183,1.1e-05,0.164786,351,46.6667,4.11667
"8",0.015333,1e-05,1e-05,1e-05,0.984637,403,49.3667,16.2667
"9",1e-05,1e-05,1e-05,1e-05,0.99996,410,49.4211,16.3497
"10",1e-05,1e-05,1e-05,1e-05,0.99996,424,49.4112,16.2815
"11",0.031561,1e-05,1e-05,1e-05,0.968409,428,49.403,16.232
"12",0.004792,1e-05,1e-05,1e-05,0.995178,430,47,15.5
"13",1e-05,1e-05,1e-05,0.99996,1e-05,470,40.8313,-87.735
"14",1e-05,1e-05,1e-05,0.99996,1e-05,476,40.8313,-87.735
"15",1e-05,1e-05,1e-05,0.99996,1e-05,484,40.8313,-87.735
"16",1e-05,1e-05,1e-05,0.99996,1e-05,504,40.8313,-87.735
"17",1e-05,1e-05,1e-05,0.99996,1e-05,506,40.8313,-87.735
"18",1e-05,1e-05,1e-05,0.99996,1e-05,531,40.8313,-87.735
"19",1e-05,1e-05,1e-05,0.99996,1e-05,544,40.9076,-73.2089
"20",1e-05,1e-05,1e-05,0.99996,1e-05,546,40.9076,-73.2089
"21",1e-05,0.051094,0.730333,0.08094,0.137622,628,40.7777,-72.9069
"22",1e-05,1e-05,0.725457,0.035544,0.238979,630,40.7777,-72.9069
"23",1e-05,1e-05,1e-05,0.99996,1e-05,680,40.9447,-72.8615
"24",1e-05,1e-05,1e-05,0.99996,1e-05,681,40.9447,-72.8615
"25",1e-05,1e-05,1e-05,0.99996,1e-05,685,40.9064,-73.1493
"26",1e-05,1e-05,1e-05,0.99996,1e-05,687,40.9064,-73.1493
"27",1e-05,1e-05,1e-05,0.99996,1e-05,728,40.9352,-73.114
"28",1e-05,1e-05,1e-05,0.99996,1e-05,742,40.9352,-73.114
"29",0.99996,1e-05,1e-05,1e-05,1e-05,763,42.3,74.3667
"30",0.99996,1e-05,1e-05,1e-05,1e-05,765,42.1833,73.4
"31",0.99996,1e-05,1e-05,1e-05,1e-05,766,42.5833,73.6333
"32",0.99996,1e-05,1e-05,1e-05,1e-05,768,42.8,76.35
"33",0.999959,1.1e-05,1e-05,1e-05,1e-05,772,37.35,72.4667
"34",1e-05,0.023167,0.351528,0.101949,0.523346,801,37.9169,-84.4639
"35",1e-05,1e-05,1e-05,0.99996,1e-05,853,41.7976,-86.6691
"36",1e-05,1e-05,1e-05,0.99996,1e-05,854,41.7976,-86.6691
"37",1e-05,1e-05,1e-05,0.99996,1e-05,867,41.8266,-86.4366
"38",1e-05,1e-05,1e-05,0.99996,1e-05,868,41.8266,-86.4366
