"","V1","V2","tg_ecotypeid","latitude","longitude"
"1",0.960088,0.039912,88,47.4,0.683333
"2",0.947815,0.052185,108,48.5167,-4.06667
"3",0.932473,0.067527,139,48.5167,-4.06667
"4",0.949921,0.050079,159,47.35,3.93333
"5",0.932327,0.067673,265,44.65,-1.16667
"6",0.926993,0.073007,350,46.6667,4.11667
"7",0.948192,0.051808,351,46.6667,4.11667
"8",0.99999,1e-05,403,49.3667,16.2667
"9",0.99999,1e-05,410,49.4211,16.3497
"10",0.995534,0.004466,424,49.4112,16.2815
"11",0.99999,1e-05,428,49.403,16.232
"12",0.99999,1e-05,430,47,15.5
"13",1e-05,0.99999,470,40.8313,-87.735
"14",1e-05,0.99999,476,40.8313,-87.735
"15",1e-05,0.99999,484,40.8313,-87.735
"16",1e-05,0.99999,504,40.8313,-87.735
"17",1e-05,0.99999,506,40.8313,-87.735
"18",1e-05,0.99999,531,40.8313,-87.735
"19",1e-05,0.99999,544,40.9076,-73.2089
"20",1e-05,0.99999,546,40.9076,-73.2089
"21",0.872564,0.127436,628,40.7777,-72.9069
"22",0.92916,0.07084,630,40.7777,-72.9069
"23",1e-05,0.99999,680,40.9447,-72.8615
"24",1e-05,0.99999,681,40.9447,-72.8615
"25",1e-05,0.99999,685,40.9064,-73.1493
"26",1e-05,0.99999,687,40.9064,-73.1493
"27",1e-05,0.99999,728,40.9352,-73.114
"28",1e-05,0.99999,742,40.9352,-73.114
"29",0.99999,1e-05,763,42.3,74.3667
"30",0.99999,1e-05,765,42.1833,73.4
"31",0.99999,1e-05,766,42.5833,73.6333
"32",0.99999,1e-05,768,42.8,76.35
"33",0.996797,0.003203,772,37.35,72.4667
"34",0.878216,0.121784,801,37.9169,-84.4639
"35",1e-05,0.99999,853,41.7976,-86.6691
"36",1e-05,0.99999,854,41.7976,-86.6691
"37",1e-05,0.99999,867,41.8266,-86.4366
"38",1e-05,0.99999,868,41.8266,-86.4366
"39",0.286952,0.713048,870,41.8266,-86.4366
"40",0.976742,0.023258,915,41.8972,-71.4378
"41",0.681493,0.318507,932,42.3634,-71.1445
"42",0.945965,0.054035,991,55.3833,14.05
"43",0.959848,0.040152,992,55.3833,14.05
"44",0.941573,0.058427,997,55.3833,14.05
"45",0.928634,0.071366,1002,55.3833,14.05
"46",0.918658,0.081342,1006,55.3833,14.05
"47",0.941785,0.058215,1061,55.7167,14.1333
"48",0.955982,0.044018,1062,55.7167,14.1333
"49",0.961621,0.038379,1063,55.7167,14.1333
"50",0.961561,0.038439,1066,55.7167,14.1333
"51",0.995126,0.004874,1070,55.7167,14.1333
"52",0.960991,0.039009,1158,56.7,16.5167
"53",0.955559,0.044441,1166,56.7,16.5167
"54",0.969416,0.030584,1254,59.4333,17.0167
"55",0.993241,0.006759,1257,59.4333,17.0167
"56",0.936512,0.063488,1313,59.5667,16.8667
"57",0.942158,0.057842,1317,59.5667,16.8667
"58",0.99999,1e-05,1552,63.0833,18.3667
"59",1e-05,0.99999,1612,41.9,-86.583
"60",1e-05,0.99999,1622,41.9,-86.583
"61",1e-05,0.99999,1651,43.3431,-86.4045
"62",1e-05,0.99999,1652,43.3431,-86.4045
"63",1e-05,0.99999,1676,41.879,-86.607
"64",1e-05,0.99999,1684,41.879,-86.607
"65",1e-05,0.99999,1739,42.405,-85.398
"66",1e-05,0.99999,1741,42.405,-85.398
"67",1e-05,0.99999,1756,42.184,-86.358
"68",1e-05,0.99999,1757,42.184,-86.358
"69",1e-05,0.99999,1793,41.847,-86.67
"70",1e-05,0.99999,1797,41.847,-86.67
"71",1e-05,0.99999,1819,41.8,-86.67
"72",1e-05,0.99999,1820,41.8,-86.67
"73",0.410948,0.589052,1829,42.051,-86.509
"74",1e-05,0.99999,1834,42.051,-86.509
"75",1e-05,0.99999,1835,42.051,-86.509
"76",1e-05,0.99999,1851,43.595,-86.2657
"77",0.073972,0.926028,1852,43.595,-86.2657
"78",0.246521,0.753479,1853,43.595,-86.2657
"79",0.303057,0.696943,1872,43.595,-86.2657
"80",0.99999,1e-05,1890,43.5139,-86.1859
"81",0.522685,0.477315,1925,43.5251,-86.1843
"82",1e-05,0.99999,1942,43.5251,-86.1843
"83",1e-05,0.99999,1943,43.5251,-86.1843
"84",0.532786,0.467214,1954,43.5187,-86.1739
"85",0.974021,0.025979,2016,43.5356,-86.1788
"86",1e-05,0.99999,2017,43.5356,-86.1788
"87",1e-05,0.99999,2031,42.166,-86.412
"88",1e-05,0.99999,2053,42.166,-86.412
"89",0.209693,0.790307,2057,42.166,-86.412
"90",1e-05,0.99999,2081,43.2483,-86.3368
"91",1e-05,0.99999,2091,43.2483,-86.3368
"92",1e-05,0.99999,2106,43.2749,-86.0891
"93",1e-05,0.99999,2108,43.2749,-86.0891
"94",1e-05,0.99999,2141,43.2749,-86.0891
"95",1e-05,0.99999,2159,42.148,-86.431
"96",1e-05,0.99999,2166,42.148,-86.431
"97",0.825257,0.174743,2171,42.148,-86.431
"98",1e-05,0.99999,2191,43.7623,-86.3929
"99",0.952897,0.047103,2202,43.7623,-86.3929
"100",1e-05,0.99999,2212,43.7623,-86.3929
"101",1e-05,0.99999,2239,42.184,-86.382
"102",1e-05,0.99999,2240,42.184,-86.382
"103",0.5668,0.4332,2276,43.665,-86.496
"104",0.396236,0.603764,2278,43.665,-86.496
"105",1e-05,0.99999,2285,43.665,-86.496
"106",1e-05,0.99999,2286,43.665,-86.496
"107",0.903577,0.096423,2317,42.03,-86.514
"108",1e-05,0.99999,2370,41.865,-86.646
"109",1e-05,0.99999,2412,41.865,-86.646
"110",0.8689,0.1311,4779,50.4,-4.9
"111",0.897204,0.102796,4807,50.4,-4.9
"112",0.916518,0.083482,4826,50.4,-4.9
"113",0.910817,0.089183,4840,50.4,-4.9
"114",0.90559,0.09441,4857,50.3,-4.9
"115",0.901419,0.098581,4884,50.3,-4.9
"116",0.920775,0.079225,4900,50.3,-4.8
"117",0.872462,0.127538,4939,50.4,-4.7
"118",0.937921,0.062079,4958,50.5,-4.5
"119",0.917287,0.082713,5023,51.3,0.5
"120",0.979141,0.020859,5104,51.3,0.5
"121",0.8718,0.1282,5151,52.2,-1.7
"122",0.921718,0.078282,5165,51.3,0.4
"123",0.965173,0.034827,5210,51.2,0.3
"124",0.882202,0.117798,5236,51.2,0.4
"125",0.889355,0.110645,5249,51.2,0.3
"126",0.897083,0.102917,5253,51.1,0.6
"127",0.879287,0.120713,5276,51.3,1.1
"128",0.8572,0.1428,5279,51.3,1.1
"129",0.917619,0.082381,5349,51.1,0.4
"130",0.898933,0.101067,5353,54.5,-3
"131",0.896261,0.103739,5395,54.4,-3
"132",0.980776,0.019224,5486,54.6,-3.3
"133",0.932724,0.067276,5577,54.7,-3.4
"134",0.932693,0.067307,5644,54.4,-2.9
"135",0.899062,0.100938,5651,54.4,-2.9
"136",0.89468,0.10532,5717,54.6,-3.2
"137",0.91009,0.08991,5718,57,-3.4
"138",0.898668,0.101332,5720,53.3,-1.6
"139",0.906176,0.093824,5726,51.3,1.1
"140",0.913878,0.086122,5741,56.6,-4.1
"141",0.86907,0.13093,5748,56,-4.4
"142",0.978702,0.021298,5757,54.6,-2.3
"143",0.942277,0.057723,5768,54.1,-1.5
"144",0.987026,0.012974,5772,54.1,-2.3
"145",0.895634,0.104366,5776,52.9,-1.3
"146",0.937371,0.062629,5779,51,-3.1
"147",0.978038,0.021962,5784,56.4,-5.2
"148",0.87216,0.12784,5798,53.1,-3.3
"149",0.945015,0.054985,5800,57.4,-5.5
"150",0.892963,0.107037,5811,52.9,-3.1
"151",0.937288,0.062712,5822,56.7333,-5.98333
"152",0.977429,0.022571,5830,56.3333,15.9667
"153",0.96271,0.03729,5831,56.3333,15.9667
"154",0.940714,0.059286,5832,56.3333,15.9667
"155",0.966944,0.033056,5836,55.86,13.51
"156",0.99999,1e-05,5837,49.4013,16.2326
"157",0.99999,1e-05,5856,63.0167,17.4914
"158",0.968106,0.031894,5860,62.6814,18.0165
"159",0.967893,0.032107,5865,55.76,14.12
"160",0.991327,0.008673,5867,55.76,14.12
"161",0.99999,1e-05,5874,49.4112,16.2815
"162",0.99999,1e-05,5890,49.4112,16.2815
"163",0.993715,0.006285,5893,49.4112,16.2815
"164",0.99999,1e-05,5907,49.4112,16.2815
"165",0.99999,1e-05,5921,49.4112,16.2815
"166",0.99999,1e-05,5950,49.4112,16.2815
"167",0.99999,1e-05,5984,49.4112,16.2815
"168",0.99999,1e-05,5993,49.4112,16.2815
"169",0.999412,0.000588,6008,49.1,16.2
"170",0.99999,1e-05,6009,62.877,18.177
"171",0.991515,0.008485,6010,62.877,18.177
"172",0.99999,1e-05,6011,62.877,18.177
"173",0.99999,1e-05,6012,62.877,18.177
"174",0.99999,1e-05,6013,62.877,18.177
"175",0.99999,1e-05,6016,62.9,18.4
"176",0.99043,0.00957,6017,62.9,18.4
"177",0.966181,0.033819,6019,56.06,14.29
"178",0.981425,0.018575,6020,56.06,14.29
"179",0.992226,0.007774,6021,56.06,14.29
"180",0.976594,0.023406,6022,56.06,14.29
"181",0.971256,0.028744,6023,55.7509,13.3712
"182",0.96517,0.03483,6024,55.7509,13.3712
"183",0.99999,1e-05,6025,62.6437,17.7339
"184",0.999572,0.000428,6030,62.806,18.1896
"185",0.921525,0.078475,6034,56.1,13.74
"186",0.971633,0.028367,6035,56.1,13.74
"187",0.930794,0.069206,6036,56.1,13.74
"188",0.944041,0.055959,6038,56.1,13.74
"189",0.973903,0.026097,6039,56.1,13.74
"190",0.974125,0.025875,6040,55.66,13.4
"191",0.945506,0.054494,6041,56.0328,14.775
"192",0.953785,0.046215,6042,56.09,13.9
"193",0.99999,1e-05,6043,62.801,18.079
"194",0.998564,0.001436,6046,62.801,18.079
"195",0.99999,1e-05,6064,62.9513,18.2763
"196",0.99999,1e-05,6069,62.9513,18.2763
"197",0.99999,1e-05,6070,62.9308,18.3448
"198",0.99999,1e-05,6071,62.9308,18.3448
"199",0.976015,0.023985,6073,56.1481,15.8155
"200",0.963483,0.036517,6074,56.4573,16.1308
"201",0.983821,0.016179,6076,55.6942,13.4504
