"","V1","V2","V3","tg_ecotypeid","latitude","longitude"
"1",0.990429,0.009561,1e-05,88,47.4,0.683333
"2",0.98545,0.01454,1e-05,108,48.5167,-4.06667
"3",0.971234,0.028756,1e-05,139,48.5167,-4.06667
"4",0.81331,0.024208,0.162482,159,47.35,3.93333
"5",0.583088,0.054262,0.36265,265,44.65,-1.16667
"6",0.868812,0.038896,0.092292,350,46.6667,4.11667
"7",0.995492,0.004498,1e-05,351,46.6667,4.11667
"8",0.017711,1e-05,0.982279,403,49.3667,16.2667
"9",0.057695,1e-05,0.942295,410,49.4211,16.3497
"10",1e-05,0.008956,0.991034,424,49.4112,16.2815
"11",1e-05,1e-05,0.99998,428,49.403,16.232
"12",0.086187,0.002256,0.911557,430,47,15.5
"13",1e-05,0.99998,1e-05,470,40.8313,-87.735
"14",1e-05,0.99998,1e-05,476,40.8313,-87.735
"15",1e-05,0.99998,1e-05,484,40.8313,-87.735
"16",1e-05,0.99998,1e-05,504,40.8313,-87.735
"17",1e-05,0.99998,1e-05,506,40.8313,-87.735
"18",1e-05,0.99998,1e-05,531,40.8313,-87.735
"19",1e-05,0.99998,1e-05,544,40.9076,-73.2089
"20",1e-05,0.99998,1e-05,546,40.9076,-73.2089
"21",0.794763,0.09921,0.106027,628,40.7777,-72.9069
"22",0.902844,0.040588,0.056567,630,40.7777,-72.9069
"23",1e-05,0.99998,1e-05,680,40.9447,-72.8615
"24",1e-05,0.99998,1e-05,681,40.9447,-72.8615
"25",1e-05,0.99998,1e-05,685,40.9064,-73.1493
"26",1e-05,0.99998,1e-05,687,40.9064,-73.1493
"27",1e-05,0.99998,1e-05,728,40.9352,-73.114
"28",1e-05,0.99998,1e-05,742,40.9352,-73.114
"29",1e-05,1e-05,0.99998,763,42.3,74.3667
"30",1e-05,1e-05,0.99998,765,42.1833,73.4
"31",1e-05,1e-05,0.99998,766,42.5833,73.6333
"32",1e-05,1e-05,0.99998,768,42.8,76.35
"33",1e-05,0.002909,0.997081,772,37.35,72.4667
"34",0.555972,0.108196,0.335833,801,37.9169,-84.4639
"35",1e-05,0.99998,1e-05,853,41.7976,-86.6691
"36",1e-05,0.99998,1e-05,854,41.7976,-86.6691
"37",1e-05,0.99998,1e-05,867,41.8266,-86.4366
"38",1e-05,0.99998,1e-05,868,41.8266,-86.4366
"39",0.311259,0.688731,1e-05,870,41.8266,-86.4366
"40",0.49192,0.015226,0.492853,915,41.8972,-71.4378
"41",0.71939,0.2806,1e-05,932,42.3634,-71.1445
"42",0.217038,0.056214,0.726747,991,55.3833,14.05
"43",0.122036,0.048534,0.82943,992,55.3833,14.05
"44",0.151156,0.063084,0.78576,997,55.3833,14.05
"45",0.075715,0.087955,0.836331,1002,55.3833,14.05
"46",0.20235,0.088618,0.709032,1006,55.3833,14.05
"47",0.203502,0.06336,0.733138,1061,55.7167,14.1333
"48",0.009593,0.05192,0.938486,1062,55.7167,14.1333
"49",0.158441,0.0439,0.797659,1063,55.7167,14.1333
"50",0.100598,0.051211,0.848191,1066,55.7167,14.1333
"51",0.122137,0.007881,0.869982,1070,55.7167,14.1333
"52",0.136605,0.046844,0.816551,1158,56.7,16.5167
"53",0.119601,0.051679,0.828721,1166,56.7,16.5167
"54",0.039417,0.030707,0.929877,1254,59.4333,17.0167
"55",0.071279,0.013305,0.915416,1257,59.4333,17.0167
"56",0.108298,0.071029,0.820674,1313,59.5667,16.8667
"57",0.087348,0.065327,0.847325,1317,59.5667,16.8667
"58",1e-05,1e-05,0.99998,1552,63.0833,18.3667
"59",1e-05,0.99998,1e-05,1612,41.9,-86.583
"60",1e-05,0.99998,1e-05,1622,41.9,-86.583
"61",1e-05,0.99998,1e-05,1651,43.3431,-86.4045
"62",1e-05,0.99998,1e-05,1652,43.3431,-86.4045
"63",1e-05,0.99998,1e-05,1676,41.879,-86.607
"64",1e-05,0.99998,1e-05,1684,41.879,-86.607
"65",1e-05,0.99998,1e-05,1739,42.405,-85.398
"66",1e-05,0.99998,1e-05,1741,42.405,-85.398
